SimId                                AgentId Time Value                  
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      77   293.3683664960133      
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      78   171.15073947270253     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      79   225.1666742233465      
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      80   188.68361839230897     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      81   267.3251646861022      
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      82   237.02085011173313     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      83   168.36811658508168     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      84   249.86639772518333     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      85   255.44732461697643     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      86   216.6429339857889      
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      87   301.25406569501683     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      88   179.24912110605305     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      89   143.30874307254612     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      90   290.29147616413593     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      91   229.16250861803383     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      92   173.18368665468984     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      93   225.82681231887182     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      94   224.18286896947143     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      95   231.1903604445547      
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      96   187.92028578321458     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      97   257.04170160505714     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      98   226.38074521496446     
d41023b5-4bb5-4c6f-b2aa-7c9225f008ca 14      99   172.47120476112502     
