SimId                                AgentId Time Value                  
7972dddf-ec31-4028-ac54-a0cd33214a03 14      60   251.1417294527708      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      61   267.3527818430309      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      62   241.5420506863618      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      63   341.4153131417347      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      64   143.07568198391107     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      65   123.39952247462844     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      66   218.62980200000982     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      67   206.83379388495382     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      68   202.86665873858828     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      69   122.65295593484075     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      70   272.0557259454796      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      71   372.1673512360853      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      72   113.6881545864776      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      73   237.30511678589573     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      74   111.28932090273588     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      75   119.08402032062264     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      76   323.3707690487922      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      77   312.87032467003996     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      78   144.1248506112929      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      79   235.84631767840892     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      80   213.7950909091365      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      81   345.741218550907       
7972dddf-ec31-4028-ac54-a0cd33214a03 14      82   201.303536567862       
7972dddf-ec31-4028-ac54-a0cd33214a03 14      83   141.78162317785382     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      84   230.07318584977247     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      85   228.3650800513803      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      86   216.8662476538252      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      87   355.65751042510533     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      88   194.2232286151808      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      89   146.52225131293164     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      90   287.90951068840286     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      91   294.9120824535289      
7972dddf-ec31-4028-ac54-a0cd33214a03 14      92   149.12732288935194     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      93   293.33770812641615     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      94   272.34800706011674     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      95   264.79607088688425     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      96   244.17492158212042     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      97   269.71694497556314     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      98   294.05723918885826     
7972dddf-ec31-4028-ac54-a0cd33214a03 14      99   167.25315208870916     
